Experiment,Train_Acc_Mean,Train_Acc_Std,Val_Acc_Mean,Val_Acc_Std,Gap_Mean,Gap_Std,Train_Loss_Mean,Val_Loss_Mean
Baseline,92.8083,0.5300,88.8833,0.2381,3.9250,0.3068,0.190500,0.314397
L1,91.0681,0.3340,88.6222,0.0399,2.4458,0.3493,0.242140,0.315987
L2,93.1535,0.2443,89.0806,0.3063,4.0729,0.1795,0.182420,0.316180
Dropout,92.6181,0.1637,89.1750,0.1275,3.4431,0.2904,0.194668,0.301963
BatchNorm,93.7819,0.7869,89.2639,0.2547,4.5181,0.5534,0.168661,0.302875
L2+Dropout,92.7958,0.1444,89.2000,0.1656,3.5958,0.0505,0.191672,0.301584
L2+BatchNorm,92.6986,0.8639,88.8611,0.3078,3.8375,0.5824,0.197040,0.302493
Dropout+BatchNorm,94.7188,0.6609,89.9194,0.2000,4.7993,0.4868,0.145698,0.288649
DataAug,83.6271,0.1716,85.8167,0.3731,-2.1896,0.2033,0.429993,0.388057
LabelSmoothing,93.8278,1.4136,89.3083,0.3342,4.5194,1.0860,0.255689,0.365680
