Experiment,Layer,SparsityPct
Baseline,network.0.weight,1.0775
Baseline,network.2.weight,0.8804
Baseline,network.4.weight,0.6439
Baseline,network.6.weight,0.5469
Baseline,TOTAL,1.0056
L1,network.0.weight,92.5614
L1,network.2.weight,97.7386
L1,network.4.weight,88.0188
L1,network.6.weight,48.6719
L1,TOTAL,93.3973
L2,network.0.weight,1.0281
L2,network.2.weight,0.8759
L2,network.4.weight,0.6439
L2,network.6.weight,0.1562
L2,TOTAL,0.9687
Dropout,network.0.weight,0.9938
Dropout,network.3.weight,0.8865
Dropout,network.6.weight,0.7416
Dropout,network.9.weight,0.4688
Dropout,TOTAL,0.9532
BatchNorm,network.0.weight,1.0944
BatchNorm,network.1.weight,0.0000
BatchNorm,network.3.weight,0.8911
BatchNorm,network.4.weight,0.0000
BatchNorm,network.6.weight,0.6195
BatchNorm,network.7.weight,0.0000
BatchNorm,network.9.weight,0.7031
BatchNorm,TOTAL,1.0174
L2+Dropout,network.0.weight,0.9908
L2+Dropout,network.3.weight,0.8423
L2+Dropout,network.6.weight,0.6653
L2+Dropout,network.9.weight,0.5469
L2+Dropout,TOTAL,0.9366
L2+BatchNorm,network.0.weight,1.0929
L2+BatchNorm,network.1.weight,0.0000
L2+BatchNorm,network.3.weight,0.9117
L2+BatchNorm,network.4.weight,0.0000
L2+BatchNorm,network.6.weight,0.6256
L2+BatchNorm,network.7.weight,0.0000
L2+BatchNorm,network.9.weight,0.4688
L2+BatchNorm,TOTAL,1.0209
Dropout+BatchNorm,network.0.weight,0.9245
Dropout+BatchNorm,network.1.weight,0.0000
Dropout+BatchNorm,network.4.weight,0.8591
Dropout+BatchNorm,network.5.weight,0.0000
Dropout+BatchNorm,network.8.weight,0.6775
Dropout+BatchNorm,network.9.weight,0.0000
Dropout+BatchNorm,network.12.weight,0.2344
Dropout+BatchNorm,TOTAL,0.8921
DataAug,network.0.weight,0.8097
DataAug,network.2.weight,0.7729
DataAug,network.4.weight,0.6287
DataAug,network.6.weight,0.4688
DataAug,TOTAL,0.7899
LabelSmoothing,network.0.weight,1.0984
LabelSmoothing,network.2.weight,0.9125
LabelSmoothing,network.4.weight,0.6409
LabelSmoothing,network.6.weight,0.3906
LabelSmoothing,TOTAL,1.0273
